,Teamname,Tournament,Username,PlayerName,Suggestion1,Suggestion2,Suggestion3,MatchScore
25,Atlanta Hustle,AUDL 2015,Boezi,,Byron Liu,Sun Choi,,0.0
126,Atlanta Hustle,AUDL 2016,The Law,,Max Leonard,Ben Breault,,0.0
136,Atlanta Hustle,AUDL 2016,Walsh,,Taylor Goforth,Will Carmichael,Christian Olsen,0.0
243,Austin Sol,AUDL 2018,Unknown,,,,,0.0
429,Chicago Wildfire,AUDL 2014,Slymer E,,Greg Slover,Taylor Kraemer,Tim Fergus,0.0
333,Chicago Wildfire,AUDL 2015,DW,,,,,0.0
377,Chicago Wildfire,AUDL 2015,Kennedy,,,,,0.0
427,Chicago Wildfire,AUDL 2015,Slymer,,Alex Rummelhart,Tim Fergus,Dan Miller,0.0
324,Chicago Wildfire,AUDL 2018,Bruno,,CJ O'Brien,Bill Kluender,Grant Zukowski,0.0
329,Chicago Wildfire,AUDL 2018,Chowder,,Ross Barker,Max Trotter,Michael Pardo,0.0
395,Chicago Wildfire,AUDL 2018,Nick,,Nick Zeman,Nick Myhre,Nicky Golini,1.0
428,Chicago Wildfire,AUDL 2018,Slymer,,Alex Rummelhart,Dan Miller,James Sykora,0.0
506,Cincinnati Revolution,AUDL 2014,Isaac Je,,Todd Grace,Ben Jansen,Alan Huels,0.333333333
500,Cincinnati Revolution,AUDL 2015,Greg,,Darin Graves,Ben Sage,,0.0
819,Dallas Roughnecks,AUDL 2016,Yetti,,Ted Barnett,Matt Bennett,Beau Kittredge,0.0
820,Dallas Roughnecks,AUDL 2017,Yetti,,Matt Bennett,Joel Clutton,Matt Hudspith,0.0
727,Dallas Roughnecks,AUDL 2018,Blake,,Thomas Slack,Kaplan Maurer,Dillon Larberg,0.0
742,Dallas Roughnecks,AUDL 2018,Chris P,,Chris Larberg,Chris LaRocque,Noah Chambers,1.0
755,Dallas Roughnecks,AUDL 2018,E-Bay,,,,,0.0
802,Dallas Roughnecks,AUDL 2018,Peter,,Ben Rogers,Steven Borik,Carter Hollo,0.0
803,Dallas Roughnecks,AUDL 2018,Reese,,Ben Lewis,Ben Rogers,,0.0
809,Dallas Roughnecks,AUDL 2018,Ryan,,Reid Bacon,,,0.0
